,time,latitude,longitude,enu_x,enu_y,speed,course,Hrage,accX,accY,accZ,gyrX,gyrY,gyrZ,eulR,eulP,eulY
1244,795744,,,,,,,,-0.24609375,0.97265625,-0.37890625,0.46875,0.701171875,-0.46875,34.877777777777794,10.077777777777783,186.65555555555557
1245,795745,,,,,,,,6.703125,6.91796875,0.09375,-0.59375,1.62890625,0.6875,34.24444444444447,9.922222222222217,186.43333333333334
1246,795746,,,,,,,,-0.6875,-3.9375,1.87109375,-0.591796875,0.53125,0.08984375,33.71111111111111,9.399999999999977,186.05555555555554
1247,795747,,,,,,,,2.484375,-0.328125,-0.10546875,-0.314453125,0.296875,0.060546875,33.47777777777776,9.077777777777783,185.94444444444446
1248,795748,,,,,,,,1.19140625,-0.265625,-2.48046875,-0.240234375,0.875,-0.048828125,33.155555555555566,8.877777777777794,185.86666666666667
1249,795749,,,,,,,,-0.75390625,0.484375,-1.35546875,-0.369140625,1.203125,0.025390625,32.56666666666666,8.655555555555566,185.75555555555556
1250,795750,36.01278966666666,129.32211266666667,316.66383334933346,43.242822215542574,0.0,65535.0,,-0.40625,-0.2109375,-1.43359375,-0.21875,0.58203125,0.4765625,37.0888888888889,6.51111111111112,183.14444444444445
1251,795751,,,,,,,,0.8828125,1.3671875,-6.8828125,-0.45703125,3.0,0.38671875,30.46666666666664,7.899999999999977,185.11111111111111
1252,795752,,,,,,,,-0.94140625,2.2265625,-8.6875,-1.021484375,4.759765625,0.81640625,28.333333333333314,7.133333333333326,184.37777777777777
1253,795753,,,,,,,,-1.015625,3.09765625,-8.9921875,-2.009765625,6.369140625,1.40234375,25.23333333333335,5.7555555555555316,183.25555555555556
1254,795754,,,,,,,,2.59765625,1.1640625,-7.796875,-3.037109375,8.337890625,1.87890625,21.21111111111111,3.8000000000000114,181.87777777777777
1255,795755,,,,,,,,12.859375,-6.24609375,0.90234375,-3.00390625,11.89453125,1.46484375,15.455555555555577,1.6444444444444457,180.55555555555554
1256,795756,,,,,,,,0.03515625,-5.47265625,-5.1953125,-1.560546875,15.037109375,0.509765625,8.03333333333336,0.24444444444446844,179.86666666666667
1257,795757,,,,,,,,-1.453125,-2.578125,-6.25390625,1.95703125,15.568359375,0.517578125,-0.9111111111110972,0.3333333333333144,179.51111111111112
1258,795758,,,,,,,,-14.015625,0.6015625,1.9140625,3.744140625,3.251953125,-0.96875,-6.111111111111086,1.9333333333333371,179.5222222222222
1259,795759,,,,,,,,2.79296875,-0.48828125,-11.46875,0.916015625,-1.263671875,-2.755859375,-6.7444444444444684,3.1888888888888687,180.5888888888889
1260,795760,36.01278933333333,129.32211266666667,316.6638346826628,43.205835802691354,0.2,65535.0,,0.42578125,-0.8515625,-9.203125,0.9296875,-0.7578125,-2.681640625,-6.2666666666666515,3.52222222222224,182.1
1261,795761,,,,,,,,0.6015625,-0.8515625,-9.73046875,1.017578125,-0.623046875,-2.625,-5.96666666666664,3.933333333333337,183.67777777777778
1262,795762,,,,,,,,-5.7265625,11.5859375,-4.8125,-2.599609375,-5.298828125,-1.490234375,-4.322222222222194,3.3666666666666742,184.98888888888888
1263,795763,,,,,,,,4.58203125,-5.640625,4.6328125,-1.451171875,-0.361328125,-0.974609375,-2.7333333333333485,2.1555555555555657,185.75555555555556
1264,795764,,,,,,,,0.34765625,2.12890625,6.06640625,0.017578125,3.072265625,-0.220703125,-3.51111111111112,1.7333333333333485,186.05555555555554
1265,795765,,,,,,,,-8.453125,-1.703125,5.9609375,0.046875,0.40234375,-0.029296875,-4.5,1.7555555555555316,186.0888888888889
1266,795766,,,,,,,,-0.80859375,0.7421875,-3.234375,0.056640625,-2.263671875,0.14453125,-3.96666666666664,1.7888888888888914,186.06666666666666
1267,795767,,,,,,,,0.54296875,1.2109375,3.00390625,-0.349609375,-2.443359375,0.013671875,-2.622222222222206,1.6999999999999886,186.04444444444445
1268,795768,,,,,,,,3.7734375,-1.3359375,-0.32421875,-0.05078125,-0.548828125,0.046875,-1.7555555555555316,1.5888888888889028,186.04444444444445
